"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 04:12:08 GMT 2023","Tue May 02 04:12:09 GMT 2023","995","","LoginTest","","LoginTest","loginFunctionTest","Login function test",""
"failed","Tue May 02 04:12:00 GMT 2023","Tue May 02 04:12:01 GMT 2023","1112","","TermsAndConditionsTest","","TermsAndConditionsTest","declineTermsAndConditionsTest","Not accepting terms and conditions",""
"passed","Tue May 02 04:12:09 GMT 2023","Tue May 02 04:12:12 GMT 2023","2763","","LoginTest","","LoginTest","loginWithMultipleUsersFromFileTest","Login with multiple users",""
"passed","Tue May 02 04:12:03 GMT 2023","Tue May 02 04:12:04 GMT 2023","1504","","FileSaveTest","","FileSaveTest","saveTextTest","Save text",""
"passed","Tue May 02 04:12:05 GMT 2023","Tue May 02 04:12:07 GMT 2023","1296","","LoginTest","","LoginTest","loginWithNewlyRegisteredUserTest","Login with new user",""
"passed","Tue May 02 04:11:55 GMT 2023","Tue May 02 04:11:56 GMT 2023","970","","RegisterTest","","RegisterTest","registerTest","Registration",""
"passed","Tue May 02 04:12:12 GMT 2023","Tue May 02 04:12:13 GMT 2023","1011","","LoginTest","","LoginTest","loginWithExistingUserTest","Login with existing user",""
"passed","Tue May 02 04:12:04 GMT 2023","Tue May 02 04:12:05 GMT 2023","1416","","FileSaveTest","","FileSaveTest","saveImageTest","Save image",""
"passed","Tue May 02 04:11:28 GMT 2023","Tue May 02 04:11:55 GMT 2023","26067","","BlogTest","","BlogTest","blogArticleTest","Article names",""
"passed","Tue May 02 04:11:59 GMT 2023","Tue May 02 04:12:00 GMT 2023","1652","","ProfileTest","","ProfileTest","editProfileTest","Edit profile",""
"passed","Tue May 02 04:11:57 GMT 2023","Tue May 02 04:11:59 GMT 2023","1554","","ProfileTest","","ProfileTest","deleteProfileTest","Delete profile",""
"passed","Tue May 02 04:11:56 GMT 2023","Tue May 02 04:11:57 GMT 2023","1462","","RegisterTest","","RegisterTest","registrationThenLoginTest","RegistrationThenLogin",""
"passed","Tue May 02 04:12:01 GMT 2023","Tue May 02 04:12:03 GMT 2023","1101","","TermsAndConditionsTest","","TermsAndConditionsTest","acceptTermsAndConditionsTest","Accepting terms and conditions",""
"passed","Tue May 02 04:12:07 GMT 2023","Tue May 02 04:12:08 GMT 2023","1403","","LoginTest","","LoginTest","logoutTest","Logout",""
